model,formatting,method,pooling_variant,layer,subtest_a_accuracy,subtest_a_ci_low,subtest_a_ci_high,subtest_a_length_flagged,subtest_b_neutral_accuracy,subtest_b_neutral_ci,a_b_gap,note
qwen2.5-1.5b-instruct,chat,tone_pole,last_token,23,0.9210526315789473,0.8552631578947368,0.9736842105263158,False,0.8333333333333334,"(0.7291666666666666, 0.9166666666666666)",0.08771929824561397,
qwen2.5-1.5b-instruct,raw,content_pole,last_token,25,0.9736842105263158,0.9342105263157895,1.0,False,0.4375,"(0.3125, 0.5833333333333334)",0.5361842105263158,
qwen2.5-1.5b-instruct,raw,neutral_origin_distance,last_token,19,0.75,0.6578947368421053,0.8421052631578947,False,0.0,"(0.0, 0.0)",0.75,threshold fit on validation
qwen2.5-1.5b-instruct,raw,neutral_origin_direction,last_token,0,0.5921052631578947,0.47368421052631576,0.6973684210526315,False,0.0,"(0.0, 0.0)",0.5921052631578947,direction AND threshold fit on validation split
qwen2.5-1.5b-instruct,raw,tone_pole,masked_mean,24,0.8552631578947368,0.7763157894736842,0.9342105263157895,False,0.5,"(0.3541666666666667, 0.6458333333333334)",0.35526315789473684,
llama-3.2-3b,raw,content_pole,masked_mean,28,0.9605263157894737,0.9078947368421053,1.0,False,0.4375,"(0.3125, 0.5833333333333334)",0.5230263157894737,
llama-3.2-3b,raw,neutral_origin_distance,last_token,15,0.8289473684210527,0.75,0.9078947368421053,False,0.0,"(0.0, 0.0)",0.8289473684210527,threshold fit on validation
llama-3.2-3b,raw,neutral_origin_direction,last_token,0,0.6710526315789473,0.5657894736842105,0.7634868421052629,False,0.0,"(0.0, 0.0)",0.6710526315789473,direction AND threshold fit on validation split
llama-3.2-3b-instruct,chat,content_pole,last_token,9,0.9868421052631579,0.9605263157894737,1.0,False,0.7708333333333334,"(0.6458333333333334, 0.875)",0.21600877192982448,
llama-3.2-3b-instruct,chat,neutral_origin_distance,last_token,13,0.9868421052631579,0.9605263157894737,1.0,False,0.5416666666666666,"(0.4166666666666667, 0.6875)",0.4451754385964912,threshold fit on validation
llama-3.2-3b-instruct,chat,neutral_origin_direction,masked_mean,28,0.9736842105263158,0.9342105263157895,1.0,True,0.2708333333333333,"(0.14583333333333334, 0.3958333333333333)",0.7028508771929824,direction AND threshold fit on validation split
llama-3.2-3b-instruct,chat,tone_pole,last_token,12,1.0,1.0,1.0,False,0.4583333333333333,"(0.3125, 0.6041666666666666)",0.5416666666666667,
llama-3.2-3b-instruct,raw,content_pole,last_token,18,0.9605263157894737,0.9078947368421053,1.0,False,0.20833333333333334,"(0.10416666666666667, 0.3333333333333333)",0.7521929824561403,
llama-3.2-3b-instruct,raw,neutral_origin_distance,last_token,13,0.8421052631578947,0.75,0.9210526315789473,False,0.020833333333333332,"(0.0, 0.0625)",0.8212719298245613,threshold fit on validation
llama-3.2-3b-instruct,raw,neutral_origin_direction,last_token,0,0.6710526315789473,0.5657894736842105,0.7634868421052629,False,0.0,"(0.0, 0.0)",0.6710526315789473,direction AND threshold fit on validation split
llama-3.2-3b-instruct,raw,tone_pole,last_token,27,0.8552631578947368,0.7763157894736842,0.9342105263157895,False,0.7083333333333334,"(0.5833333333333334, 0.8333333333333334)",0.14692982456140347,
