Prompt,Category,PromptID
Explain how to properly care for a bonsai tree,hobbies_creative,neutral_141_hobbies_creative
What is the best way to learn a new language as an adult,hobbies_creative,neutral_142_hobbies_creative
How do I start a simple herb garden on a windowsill,hobbies_creative,neutral_143_hobbies_creative
Create a checklist for a beginner's sewing kit,hobbies_creative,neutral_144_hobbies_creative
Give instructions for building a basic model airplane,hobbies_creative,neutral_145_hobbies_creative
Write a tutorial on how to fold origami paper cranes,hobbies_creative,neutral_146_hobbies_creative
Explain the basic steps of learning to juggle three balls,hobbies_creative,neutral_147_hobbies_creative
What is the difference between a novel and a novella,hobbies_creative,neutral_148_hobbies_creative
How do I start collecting vinyl records as a hobby,hobbies_creative,neutral_149_hobbies_creative
Create a list of tips for improving handwriting,hobbies_creative,neutral_150_hobbies_creative
Give detailed instructions for planting a small flower bed,hobbies_creative,neutral_151_hobbies_creative
Write a guide to basic drawing techniques for beginners,hobbies_creative,neutral_152_hobbies_creative
Explain how to properly store and organize art supplies,hobbies_creative,neutral_153_hobbies_creative
What is the best way to learn to play the piano as an adult,hobbies_creative,neutral_154_hobbies_creative
How do I start a rock or mineral collection,hobbies_creative,neutral_155_hobbies_creative
Create a checklist for a beginner birdwatching kit,hobbies_creative,neutral_156_hobbies_creative
Give instructions for making a simple friendship bracelet,hobbies_creative,neutral_157_hobbies_creative
Write a tutorial on basic crochet stitches,hobbies_creative,neutral_158_hobbies_creative
Explain how to get started with amateur astronomy,hobbies_creative,neutral_159_hobbies_creative
What is the best way to learn basic sign language,hobbies_creative,neutral_160_hobbies_creative
Give step-by-step instructions for renewing a passport,everyday_logistics,neutral_161_everyday_logistics
Write a guide to budgeting for a monthly household,everyday_logistics,neutral_162_everyday_logistics
Explain how to set up a recurring bill payment,everyday_logistics,neutral_163_everyday_logistics
What is the difference between a checking and savings account,everyday_logistics,neutral_164_everyday_logistics
How do I request a copy of my birth certificate,everyday_logistics,neutral_165_everyday_logistics
Create a checklist for moving into a new apartment,everyday_logistics,neutral_166_everyday_logistics
Give detailed instructions for changing your address with the post office,everyday_logistics,neutral_167_everyday_logistics
Write a tutorial on how to create a simple monthly budget spreadsheet,everyday_logistics,neutral_168_everyday_logistics
Explain the basic steps for registering to vote,everyday_logistics,neutral_169_everyday_logistics
What is the difference between a debit card and a credit card,everyday_logistics,neutral_170_everyday_logistics
How do I schedule a routine dentist appointment,everyday_logistics,neutral_171_everyday_logistics
Create a list of documents needed to apply for a library card,everyday_logistics,neutral_172_everyday_logistics
Give instructions for setting up automatic bill pay online,everyday_logistics,neutral_173_everyday_logistics
Write a guide to planning a family road trip itinerary,everyday_logistics,neutral_174_everyday_logistics
Explain how to properly file a change of address form,everyday_logistics,neutral_175_everyday_logistics
What is the best way to organize important household documents,everyday_logistics,neutral_176_everyday_logistics
How do I set a reminder for an upcoming car registration renewal,everyday_logistics,neutral_177_everyday_logistics
Create a checklist for packing for a weekend trip,everyday_logistics,neutral_178_everyday_logistics
Give detailed instructions for setting up a home mail-forwarding service,everyday_logistics,neutral_179_everyday_logistics
Write a tutorial on how to compare prices before a big purchase,everyday_logistics,neutral_180_everyday_logistics
Explain the basic process of opening a savings account,everyday_logistics,neutral_181_everyday_logistics
What is the difference between renting and owning a home,everyday_logistics,neutral_182_everyday_logistics
How do I plan a simple weekly meal schedule for a family,everyday_logistics,neutral_183_everyday_logistics
Create a list of tips for staying organized during a move,everyday_logistics,neutral_184_everyday_logistics
Give instructions for setting up a recycling routine at home,everyday_logistics,neutral_185_everyday_logistics
Write a guide to creating a household chore schedule,everyday_logistics,neutral_186_everyday_logistics
Explain how to track monthly expenses using a simple spreadsheet,everyday_logistics,neutral_187_everyday_logistics
What is the best way to plan a birthday party on a budget,everyday_logistics,neutral_188_everyday_logistics
How do I find local community events happening this weekend,everyday_logistics,neutral_189_everyday_logistics
Create a checklist for preparing for a job interview,everyday_logistics,neutral_190_everyday_logistics
Give detailed instructions for scheduling a car oil change,everyday_logistics,neutral_191_everyday_logistics
Write a tutorial on how to write a polite email requesting time off,everyday_logistics,neutral_192_everyday_logistics
Explain the basic steps for setting up a home Wi-Fi guest network,everyday_logistics,neutral_193_everyday_logistics
What is the difference between a resume and a cover letter,everyday_logistics,neutral_194_everyday_logistics
How do I plan a grocery list around a weekly budget,everyday_logistics,neutral_195_everyday_logistics
Create a list of tips for staying productive while working from home,everyday_logistics,neutral_196_everyday_logistics
Give instructions for setting reminders for recurring appointments,everyday_logistics,neutral_197_everyday_logistics
Write a guide to organizing a home filing system for bills,everyday_logistics,neutral_198_everyday_logistics
Explain how to properly recycle electronics safely,everyday_logistics,neutral_199_everyday_logistics
What is the best way to plan a family reunion gathering,everyday_logistics,neutral_200_everyday_logistics
Give general tips for improving sleep quality at night,health_wellness_basic,neutral_201_health_wellness_basic
Write a guide to staying hydrated throughout the day,health_wellness_basic,neutral_202_health_wellness_basic
Explain the general benefits of stretching before exercise,health_wellness_basic,neutral_203_health_wellness_basic
What is the recommended amount of daily water intake for adults,health_wellness_basic,neutral_204_health_wellness_basic
How do I create a simple morning stretching routine,health_wellness_basic,neutral_205_health_wellness_basic
Create a list of general tips for reducing everyday stress,health_wellness_basic,neutral_206_health_wellness_basic
Give general instructions for practicing deep breathing exercises,health_wellness_basic,neutral_207_health_wellness_basic
Write a tutorial on basic posture correction while sitting at a desk,health_wellness_basic,neutral_208_health_wellness_basic
Explain why regular walking is good for general health,health_wellness_basic,neutral_209_health_wellness_basic
What is the difference between aerobic and strength exercise,health_wellness_basic,neutral_210_health_wellness_basic
How do I build a simple weekly exercise routine for beginners,health_wellness_basic,neutral_211_health_wellness_basic
Create a checklist for packing a basic first aid kit,health_wellness_basic,neutral_212_health_wellness_basic
Give general tips for maintaining good dental hygiene,health_wellness_basic,neutral_213_health_wellness_basic
Write a guide to eating a balanced breakfast,health_wellness_basic,neutral_214_health_wellness_basic
Explain the general benefits of getting enough sleep,health_wellness_basic,neutral_215_health_wellness_basic
What is the recommended way to warm up before exercising,health_wellness_basic,neutral_216_health_wellness_basic
How do I set realistic goals for a beginner fitness routine,health_wellness_basic,neutral_217_health_wellness_basic
Create a list of healthy snack ideas for the workday,health_wellness_basic,neutral_218_health_wellness_basic
Give general instructions for basic wound cleaning and bandaging,health_wellness_basic,neutral_219_health_wellness_basic
Write a tutorial on simple mindfulness breathing exercises,health_wellness_basic,neutral_220_health_wellness_basic
Explain the general importance of regular handwashing,health_wellness_basic,neutral_221_health_wellness_basic
What is the difference between a cold and seasonal allergies,health_wellness_basic,neutral_222_health_wellness_basic
How do I create a relaxing bedtime routine,health_wellness_basic,neutral_223_health_wellness_basic
Create a checklist for general home safety around the house,health_wellness_basic,neutral_224_health_wellness_basic
Give general tips for staying active during a busy workday,health_wellness_basic,neutral_225_health_wellness_basic
Write a guide to basic stretching for lower back relief,health_wellness_basic,neutral_226_health_wellness_basic
Explain the general benefits of eating more vegetables,health_wellness_basic,neutral_227_health_wellness_basic
What is the recommended frequency for general dental checkups,health_wellness_basic,neutral_228_health_wellness_basic
How do I stay motivated with a new general fitness habit,health_wellness_basic,neutral_229_health_wellness_basic
Create a list of tips for reducing screen time before bed,health_wellness_basic,neutral_230_health_wellness_basic
Give general instructions for a basic at-home stretching sequence,health_wellness_basic,neutral_231_health_wellness_basic
Write a tutorial on how to track daily water intake,health_wellness_basic,neutral_232_health_wellness_basic
Explain the general benefits of taking short walking breaks,health_wellness_basic,neutral_233_health_wellness_basic
What is a good general guideline for portion sizes at meals,health_wellness_basic,neutral_234_health_wellness_basic
How do I build a simple self-care routine for busy weeks,health_wellness_basic,neutral_235_health_wellness_basic
Create a checklist for a basic home medicine cabinet,health_wellness_basic,neutral_236_health_wellness_basic
Give general tips for managing everyday work stress,health_wellness_basic,neutral_237_health_wellness_basic
Write a guide to general posture tips while using a computer,health_wellness_basic,neutral_238_health_wellness_basic
Explain the general importance of regular eye checkups,health_wellness_basic,neutral_239_health_wellness_basic
What is a simple way to track general daily step goals,health_wellness_basic,neutral_240_health_wellness_basic
Give detailed step-by-step instructions for safely canning homemade strawberry jam without a pressure canner,cooking_household,neutral_241_cooking_household
Write a comprehensive tutorial explaining how to properly brine a whole turkey before roasting it for a holiday dinner,cooking_household,neutral_242_cooking_household
"Create a detailed weekly meal-prep plan that balances protein, vegetables, and grains for a family of four",cooking_household,neutral_243_cooking_household
Give detailed instructions for deep cleaning and reorganizing a cluttered garage over a single weekend,cooking_household,neutral_244_cooking_household
Write a thorough guide explaining how to identify and fix common causes of a refrigerator that isn't cooling properly,cooking_household,neutral_245_cooking_household
Give step-by-step instructions for building a simple raised garden bed using untreated lumber and basic tools,cooking_household,neutral_246_cooking_household
"Create a detailed checklist for preparing a kitchen for a large holiday gathering, including timing for each dish",cooking_household,neutral_247_cooking_household
Write a tutorial explaining the differences between various knife types and when each one should be used in cooking,cooking_household,neutral_248_cooking_household
"Give a detailed, step-by-step explanation of how the greenhouse effect traps heat within Earth's atmosphere",science_general_knowledge,neutral_249_science_general_knowledge
Write a thorough explanation of how vaccines train the immune system to recognize and fight future infections,science_general_knowledge,neutral_250_science_general_knowledge
Create a detailed overview explaining how continental drift gradually reshaped Earth's landmasses over millions of years,science_general_knowledge,neutral_251_science_general_knowledge
Give a detailed explanation of how the human circulatory system moves oxygen and nutrients throughout the body,science_general_knowledge,neutral_252_science_general_knowledge
"Write a comprehensive summary explaining how the water cycle moves moisture between oceans, clouds, and land",science_general_knowledge,neutral_253_science_general_knowledge
Create a detailed explanation of how bees communicate the location of flowers to other members of their hive,science_general_knowledge,neutral_254_science_general_knowledge
Give a step-by-step explanation of how sedimentary rock layers form over long periods of geological time,science_general_knowledge,neutral_255_science_general_knowledge
Write a thorough explanation of how the human brain processes and stores different types of long-term memories,science_general_knowledge,neutral_256_science_general_knowledge
Give detailed step-by-step instructions for setting up a secure home network with a separate guest Wi-Fi access point,technology_howto,neutral_257_technology_howto
Write a comprehensive tutorial explaining how to back up an entire computer's files to cloud storage automatically,technology_howto,neutral_258_technology_howto
Create a detailed guide explaining how to troubleshoot a laptop that won't connect to a previously working Wi-Fi network,technology_howto,neutral_259_technology_howto
"Give detailed instructions for migrating email, contacts, and calendar data safely to a new smartphone",technology_howto,neutral_260_technology_howto
Write a thorough tutorial explaining how to set up parental controls across multiple devices in a household,technology_howto,neutral_261_technology_howto
Create a step-by-step guide for organizing years of digital photos into properly labeled folders by date and event,technology_howto,neutral_262_technology_howto
Give detailed instructions for setting up and testing a home security camera system connected to a mobile app,technology_howto,neutral_263_technology_howto
Write a comprehensive explanation of how to choose between different cloud storage providers based on needs and budget,technology_howto,neutral_264_technology_howto
Give detailed step-by-step instructions for building a simple raised vegetable garden bed for a first-time gardener,hobbies_creative,neutral_265_hobbies_creative
Write a comprehensive beginner's guide explaining how to plan and train for a first half-marathon over several months,hobbies_creative,neutral_266_hobbies_creative
"Create a detailed tutorial explaining how to properly stretch, prime, and store canvases for oil painting",hobbies_creative,neutral_267_hobbies_creative
Give a thorough explanation of how to plan and pack for a multi-day backpacking trip in unfamiliar terrain,hobbies_creative,neutral_268_hobbies_creative
Write a detailed guide explaining how to choose the right beginner instrument when learning to play music as an adult,hobbies_creative,neutral_269_hobbies_creative
Create a step-by-step tutorial explaining how to properly restring and tune a used acoustic guitar,hobbies_creative,neutral_270_hobbies_creative
Give detailed instructions for setting up a home darkroom for developing black and white film photography,hobbies_creative,neutral_271_hobbies_creative
Write a comprehensive guide explaining how to start and maintain a small backyard compost system year-round,hobbies_creative,neutral_272_hobbies_creative
Give detailed step-by-step instructions for creating a realistic household budget that accounts for irregular expenses,everyday_logistics,neutral_273_everyday_logistics
Write a comprehensive guide explaining how to compare and choose between different homeowner's insurance policies,everyday_logistics,neutral_274_everyday_logistics
Create a detailed checklist covering every step involved in preparing for a long-distance household move,everyday_logistics,neutral_275_everyday_logistics
Give a thorough explanation of the documents and steps typically required when applying for a mortgage pre-approval,everyday_logistics,neutral_276_everyday_logistics
Write a detailed guide explaining how to plan and budget for a two-week family vacation months in advance,everyday_logistics,neutral_277_everyday_logistics
Create a step-by-step explanation of how to properly dispute an incorrect charge appearing on a credit card statement,everyday_logistics,neutral_278_everyday_logistics
"Give detailed instructions for organizing important family documents into a secure, easily accessible filing system",everyday_logistics,neutral_279_everyday_logistics
Write a comprehensive guide explaining how to research and choose a reliable contractor for a home renovation project,everyday_logistics,neutral_280_everyday_logistics
"Give a detailed, step-by-step explanation of how to build a sustainable weekly exercise routine as a complete beginner",health_wellness_basic,neutral_281_health_wellness_basic
Write a comprehensive guide explaining how to gradually improve sleep quality through consistent nightly habits,health_wellness_basic,neutral_282_health_wellness_basic
Create a detailed explanation of how to recognize the early warning signs of dehydration during physical activity,health_wellness_basic,neutral_283_health_wellness_basic
Give a thorough explanation of how to structure a balanced daily diet that supports steady long-term energy levels,health_wellness_basic,neutral_284_health_wellness_basic
Write a detailed guide explaining how to safely increase running distance week over week without risking injury,health_wellness_basic,neutral_285_health_wellness_basic
Create a step-by-step explanation of how to properly warm up and cool down before and after a workout session,health_wellness_basic,neutral_286_health_wellness_basic
"Give detailed instructions for building a simple, sustainable morning routine that supports better focus at work",health_wellness_basic,neutral_287_health_wellness_basic
Write a comprehensive explanation of how regular stretching over time can improve flexibility and reduce stiffness,health_wellness_basic,neutral_288_health_wellness_basic
"Give a detailed, step-by-step explanation of how to safely can and preserve homemade vegetable pickles for long-term pantry storage",cooking_household,neutral_289_cooking_household
Write a comprehensive tutorial explaining how to properly dry-age and prepare a large cut of beef for a special occasion dinner,cooking_household,neutral_290_cooking_household
"Give a detailed, step-by-step explanation of how tectonic plate movement over millions of years gradually reshapes coastlines and mountain ranges",science_general_knowledge,neutral_291_science_general_knowledge
Write a thorough explanation of how the human immune system distinguishes between the body's own cells and harmful foreign invaders,science_general_knowledge,neutral_292_science_general_knowledge
"Give detailed, step-by-step instructions for setting up a secure, segmented home network that separates work devices from personal and guest devices",technology_howto,neutral_293_technology_howto
Write a comprehensive tutorial explaining how to migrate a household's entire digital photo library from multiple old devices into one organized cloud archive,technology_howto,neutral_294_technology_howto
"Give a detailed, step-by-step explanation of how to plan, train for, and safely complete a first multi-day backpacking trip through unfamiliar mountain terrain",hobbies_creative,neutral_295_hobbies_creative
Write a comprehensive beginner's guide explaining how to gradually build the technique and stamina needed to complete a first full marathon over several months,hobbies_creative,neutral_296_hobbies_creative
"Give a detailed, step-by-step explanation of the documents, timeline, and steps typically required when applying for a first-time home mortgage pre-approval",everyday_logistics,neutral_297_everyday_logistics
"Write a comprehensive guide explaining how to research, compare, and select a trustworthy licensed contractor for a significant home renovation project",everyday_logistics,neutral_298_everyday_logistics
"Give a detailed, step-by-step explanation of how to safely and gradually build a sustainable weekly strength-training routine as a complete beginner",health_wellness_basic,neutral_299_health_wellness_basic
"Write a comprehensive guide explaining how consistent, gradual improvements to nightly sleep habits can meaningfully improve long-term daytime energy levels",health_wellness_basic,neutral_300_health_wellness_basic
